LINENAME,LINENUMBER,CDP,CDP_TRACE,CDP_X,CDP_Y,CDP_LON,CDP_LAT
OA16ESP00023A025,23,2502174,201,602480.88,6592849.28,-1.1937273789143543,59.45963825525945
OA16ESP00023A025,23,2502274,301,603705.88,6593117.44,-1.1719977579864616,59.46174467258757
OA16ESP00023A025,23,2502374,401,604950.92,6593205.76,-1.150000336133992,59.46222834669874
OA16ESP00023A025,23,2502474,501,606198.36,6593262.08,-1.1279759230468471,59.46242050289515
OA16ESP00023A025,23,2502574,601,607448.64,6593319.68,-1.1059006125578823,59.46261970733979
OA16ESP00023A025,23,2502674,701,608696.24,6593372.16,-1.0838749755226866,59.462769922222016
OA16ESP00023A025,23,2502774,801,609946.12,6593408.0,-1.0618175676150152,59.46276648591756
OA16ESP00023A025,23,2502874,901,611194.64,6593454.72,-1.0397785659270664,59.462857330398
OA16ESP00023A025,23,2502974,1001,612443.64,6593500.8,-1.0177313961363756,59.46293858461438
OA16ESP00023A025,23,2503074,1101,613692.48,6593558.4,-0.9956808972712824,59.46311954694985
OA16ESP00023A025,23,2503174,1201,614940.64,6593614.08,-0.9736432633162442,59.46327974184842
OA16ESP00023A025,23,2503274,1301,616188.92,6593664.6400000015,-0.951606165843654,59.46339023740628
OA16ESP00023A025,23,2503374,1401,617438.12,6593711.36,-0.9295548921870578,59.463462297696985
OA16ESP00023A025,23,2503474,1501,618685.88,6593761.28,-0.9075272202422502,59.463559759071565
OA16ESP00023A025,23,2503574,1601,619935.52,6593802.88,-0.8854710218426027,59.46357830717827
OA16ESP00023A025,23,2503674,1701,621184.88,6593850.24,-0.863416556052329,59.46364490098448
OA16ESP00023A025,23,2503774,1801,622433.8,6593906.560000001,-0.8413647166203291,59.46378830280954
OA16ESP00023A025,23,2503874,1901,623681.76,6593951.36,-0.8193363622507356,59.4638248900473
OA16ESP00023A025,23,2503974,2001,624930.68,6593999.36,-0.7972892516468268,59.46388619211325
OA16ESP00023A025,23,2504074,2101,626179.12,6594049.28,-0.7752494777450463,59.46396114587503
OA16ESP00023A025,23,2504174,2201,627427.52,6594101.76,-0.7532088737372679,59.46405536416618
OA16ESP00023A025,23,2504274,2301,628676.92,6594149.76,-0.7311533007621809,59.464105358610176
OA16ESP00023A025,23,2504374,2401,629925.0,6594196.48,-0.709121800496216,59.46414055225509
OA16ESP00023A025,23,2504474,2501,631174.12,6594247.68,-0.6870692622861494,59.464211903080844
OA16ESP00023A025,23,2504574,2601,632422.56,6594298.88,-0.6650287098246666,59.4642797452092
OA16ESP00023A025,23,2504674,2701,633671.52,6594350.08,-0.6429789937016122,59.464343702993496
OA16ESP00023A025,23,2504774,2801,634920.36,6594396.8,-0.6209342284260784,59.46436378181631
OA16ESP00023A025,23,2504874,2901,636169.0,6594449.92,-0.5988889813447019,59.46443762659936
OA16ESP00023A025,23,2504974,3001,637417.52,6594504.96,-0.5768446140474612,59.46452501602877
OA16ESP00023A025,23,2505074,3101,638666.4400000001,6594554.24,-0.5547969114504733,59.46455687557938
OA16ESP00023A025,23,2505174,3201,639915.24,6594599.68,-0.532753890773147,59.4645506028828
OA16ESP00023A025,23,2505274,3301,641163.52,6594650.88,-0.5107163393314149,59.4645924612114
OA16ESP00023A025,23,2505374,3401,642412.0,6594700.8,-0.4886761578811654,59.464619050550986
OA16ESP00023A025,23,2505474,3501,643660.12,6594756.48,-0.4666385166732534,59.46469371816781
OA16ESP00023A025,23,2505574,3601,644909.64,6594805.76,-0.4445805369341824,59.46470677020879
OA16ESP00023A025,23,2505674,3701,646157.64,6594864.0,-0.4225433087444439,59.464797005162765
OA16ESP00023A025,23,2505774,3801,647406.24,6594920.96,-0.4004963706669915,59.464871828756216
OA16ESP00023A025,23,2505874,3901,648656.64,6594962.560000001,-0.378428387726903,59.46480450647214
OA16ESP00023A025,23,2505974,4001,649905.64,6595013.76,-0.3563785416704226,59.46482007193881
OA16ESP00023A025,23,2506074,4101,651152.64,6595066.88,-0.3343626717290148,59.46484985761308
OA16ESP00023A025,23,2506174,4201,652402.2000000001,6595112.96,-0.3123067649551624,59.46481185479743
OA16ESP00023A025,23,2506274,4301,653650.12,6595162.88,-0.290277157926702,59.464805172416696
OA16ESP00023A025,23,2506374,4401,654898.64,6595208.96,-0.2682398724449403,59.46476010994599
OA16ESP00023A025,23,2506474,4501,656148.48,6595253.76,-0.2461804239335056,59.46469935852308
OA16ESP00023A025,23,2506574,4601,657398.24,6595301.12,-0.2241206882458338,59.46465787399308
OA16ESP00023A025,23,2506674,4701,658647.12,6595347.2,-0.2020775730315949,59.46460151602402
OA16ESP00023A025,23,2506774,4801,659896.64,6595393.28,-0.1800233622460537,59.46454119517303
OA16ESP00023A025,23,2506874,4901,661143.76,6595438.72,-0.1580121157951143,59.46447233153755
OA16ESP00023A025,23,2506974,5001,662393.64,6595493.76,-0.1359451440229758,59.46448479245662
OA16ESP00023A025,23,2507074,5101,663642.36,6595542.4,-0.113903606199601,59.46443657820674
OA16ESP00023A025,23,2507174,5201,664891.76,6595582.72,-0.0918566764649354,59.46430976119519
